element=21
l=0 n=21
  9.1060000000000002e-02  2.5233400000000000e-01
l=4 n=4
  1.4228000000000001e+00  1.2021280000000001e+00
  5.6910000000000005e-01 -5.4747699999999999e-01
  2.2760000000000000e-01  2.9201000000000001e-02
  9.1060000000000002e-02 -9.9890000000000007e-02
end=21
element=22
l=0 n=21
  5.3091480999999996e+06  3.9999999999999998e-06
  7.9495165000000002e+05  3.4000000000000000e-05
  1.8090756000000000e+05  1.8000000000000001e-04
  5.1241932999999997e+04  7.5900000000000002e-04
  1.6717449000000001e+04  2.7569999999999999e-03
  6.0352659000000003e+03  8.9250000000000006e-03
  2.3538571000000002e+03  2.6061999999999998e-02
  9.7614646000000005e+02  6.8190000000000001e-02
  4.2543563000000000e+02  1.5434899999999999e-01
  1.9304677000000001e+02  2.8028199999999998e-01
  9.0439368999999999e+01  3.4839999999999999e-01
  4.3020713000000001e+01  2.2170500000000001e-01
  1.9190555000000000e+01  4.0017999999999998e-02
  9.4257164000000007e+00 -2.1380000000000001e-03
  4.6052434000000000e+00  1.7220000000000000e-03
  2.0378343000000001e+00 -8.0199999999999998e-04
  9.8003180000000001e-01  3.5599999999999998e-04
  4.4562540000000000e-01 -1.4799999999999999e-04
  1.0641700000000000e-01  5.7000000000000003e-05
  5.2570499999999999e-02 -4.3999999999999999e-05
  2.4356800000000001e-02  0.0000000000000000e+00
l=0 n=21
  5.3091480999999996e+06 -9.9999999999999995e-07
  7.9495165000000002e+05 -1.0000000000000001e-05
  1.8090756000000000e+05 -5.3000000000000001e-05
  5.1241932999999997e+04 -2.2400000000000000e-04
  1.6717449000000001e+04 -8.1800000000000004e-04
  6.0352659000000003e+03 -2.6589999999999999e-03
  2.3538571000000002e+03 -7.8790000000000006e-03
  9.7614646000000005e+02 -2.1222000000000001e-02
  4.2543563000000000e+02 -5.1422000000000002e-02
  1.9304677000000001e+02 -1.0670200000000001e-01
  9.0439368999999999e+01 -1.7468600000000001e-01
  4.3020713000000001e+01 -1.5604100000000001e-01
  1.9190555000000000e+01  1.2932299999999999e-01
  9.4257164000000007e+00  5.3846400000000005e-01
  4.6052434000000000e+00  4.3570799999999998e-01
  2.0378343000000001e+00  6.8116999999999997e-02
  9.8003180000000001e-01 -2.4359999999999998e-03
  4.4562540000000000e-01  1.9870000000000001e-03
  1.0641700000000000e-01 -4.5600000000000003e-04
  5.2570499999999999e-02  3.5399999999999999e-04
  2.4356800000000001e-02  0.0000000000000000e+00
l=0 n=21
  5.3091480999999996e+06  0.0000000000000000e+00
  7.9495165000000002e+05  3.9999999999999998e-06
  1.8090756000000000e+05  1.8000000000000000e-05
  5.1241932999999997e+04  8.1000000000000004e-05
  1.6717449000000001e+04  2.8899999999999998e-04
  6.0352659000000003e+03  9.5100000000000002e-04
  2.3538571000000002e+03  2.8119999999999998e-03
  9.7614646000000005e+02  7.6020000000000003e-03
  4.2543563000000000e+02  1.8592000000000001e-02
  1.9304677000000001e+02  3.9085000000000002e-02
  9.0439368999999999e+01  6.6498000000000002e-02
  4.3020713000000001e+01  6.2045999999999997e-02
  1.9190555000000000e+01 -5.6249000000000000e-02
  9.4257164000000007e+00 -3.1808900000000001e-01
  4.6052434000000000e+00 -4.0582699999999999e-01
